site_id,day,month,year,min_temp,max_temp,min_humidity,max_humidity
1,22,4,2016,7.1,16.6,49,89
1,23,4,2016,3.6,20.1,30,97
1,24,4,2016,3.5,18.9,40,94
1,25,4,2016,4.3,17.6,68,96
1,26,4,2016,5.6,18.3,77,98
1,27,4,2016,6.0,21.0,59,98
1,28,4,2016,13.0,20.5,64,96
1,29,4,2016,10.0,16.9,86,97
1,30,4,2016,8.8,19.4,81,99
1,1,5,2016,8.1,19.1,68,98
1,2,5,2016,6.2,16.8,63,96
1,3,5,2016,6.9,16.9,66,94
1,4,5,2016,2.6,14.3,61,95
1,5,5,2016,12.8,17.9,69,92
1,6,5,2016,6.1,17.9,51,96
1,7,5,2016,5.9,16.3,75,96
1,8,5,2016,8.9,17.5,70,97
1,9,5,2016,11.5,16.3,87,98
1,10,5,2016,7.1,14.0,59,97
1,11,5,2016,7.3,14.1,65,94
1,12,5,2016,10.9,15.8,73,92
1,13,5,2016,13.0,17.0,69,88
1,14,5,2016,12.3,17.7,65,93
1,15,5,2016,7.5,16.7,57,95
1,16,5,2016,2.5,16.4,57,96
1,17,5,2016,5.8,14.8,64,95
1,18,5,2016,5.9,15.2,78,96
1,19,5,2016,6.9,14.4,64,93
1,20,5,2016,4.4,16.3,54,95
1,21,5,2016,3.7,14.7,73,97
1,22,5,2016,12.6,15.5,81,93
1,23,5,2016,6.8,15.4,72,96
1,24,5,2016,1.3,14.1,53,96
1,25,5,2016,0.8,13.3,78,97
1,26,5,2016,6.6,13.0,64,95
1,27,5,2016,2.6,13.5,60,95
1,28,5,2016,1.1,13.6,53,94
1,29,5,2016,2.6,14.1,57,96
1,30,5,2016,1.4,13.8,60,96
1,31,5,2016,7.8,13.3,65,96
1,1,6,2016,2.5,12.9,62,96
1,2,6,2016,1.9,13.8,53,97
1,3,6,2016,1.5,14.8,67,96
1,4,6,2016,11.1,15.6,63,99
1,5,6,2016,13.4,15.8,95,99
1,6,6,2016,11.4,15.0,84,99
1,7,6,2016,10.4,16.5,71,92
1,8,6,2016,10.7,15.0,80,95
1,9,6,2016,9.3,15.2,67,97
1,10,6,2016,5.2,13.8,75,93
1,11,6,2016,2.7,9.4,60,90
1,12,6,2016,1.4,13.8,67,96
1,13,6,2016,9.9,14.5,68,90
1,14,6,2016,3.4,15.2,65,96
1,15,6,2016,1.4,14.0,67,98
1,16,6,2016,4.7,12.9,80,98
1,17,6,2016,6.3,16.2,72,95
1,18,6,2016,4.9,13.9,51,95
1,19,6,2016,3.3,13.5,68,97
1,20,6,2016,3.6,11.6,72,95
1,21,6,2016,5.7,14.3,54,97
1,22,6,2016,3.9,12.9,58,98
1,23,6,2016,3.7,11.6,85,97
1,24,6,2016,1.7,8.2,71,97
1,25,6,2016,0.9,11.3,71,98
1,26,6,2016,1.4,13.0,61,99
1,27,6,2016,2.3,13.1,62,98
1,28,6,2016,2.6,14.5,76,99
1,29,6,2016,4.0,15.7,58,98
1,30,6,2016,6.7,12.5,61,96
1,1,7,2016,3.2,12.7,67,97
1,2,7,2016,4.4,13.0,75,99
1,3,7,2016,7.3,15.2,70,93
1,4,7,2016,7.5,11.4,90,96
1,5,7,2016,5.3,12.2,78,96
